video,start,end,frames,detected,ratio
LapChol Case 0019 02,4384,7856,3473,732,0.21076878779153468
LapChol Case 0019 02,7894,9498,1605,209,0.13021806853582554
LapChol Case 0019 03,0,20,21,2,0.09523809523809523
LapChol Case 0019 03,56,165,110,1,0.00909090909090909
LapChol Case 0019 03,210,355,146,0,0.0
LapChol Case 0019 03,391,414,24,0,0.0
LapChol Case 0019 03,489,686,198,0,0.0
LapChol Case 0019 03,719,804,86,1,0.011627906976744186
LapChol Case 0019 03,2607,3157,551,195,0.35390199637023595
LapChol Case 0019 03,3192,3380,189,47,0.24867724867724866
LapChol Case 0019 03,3445,3486,42,2,0.047619047619047616
LapChol Case 0019 03,3531,3726,196,21,0.10714285714285714
LapChol Case 0019 03,4410,4778,369,43,0.11653116531165311
LapChol Case 0019 03,4811,4988,178,41,0.2303370786516854
LapChol Case 0019 03,5018,5089,72,0,0.0
LapChol Case 0019 03,5106,5191,86,9,0.10465116279069768
LapChol Case 0019 03,5205,5302,98,9,0.09183673469387756
LapChol Case 0019 03,5324,6268,945,299,0.3164021164021164
LapChol Case 0019 03,6309,7187,879,614,0.6985210466439136
LapChol Case 0019 03,7235,9958,2724,1482,0.5440528634361234
LapChol Case 0020 02,26,9793,9768,5547,0.5678746928746928
LapChol Case 0020 03,0,10012,10013,7780,0.7769899131129532
LapChol Case 0023 03,0,18,19,2,0.10526315789473684
LapChol Case 0023 03,36,9990,9955,7452,0.74856855851331
LapChol Case 0023 04,0,177,178,77,0.43258426966292135
LapChol Case 0023 04,196,261,66,17,0.25757575757575757
LapChol Case 0023 04,271,336,66,11,0.16666666666666666
LapChol Case 0023 04,365,382,18,9,0.5
LapChol Case 0023 04,390,396,7,6,0.8571428571428571
LapChol Case 0023 04,411,9721,9311,8046,0.8641391902051337
