video,threshold,precision,recall,f1,tp,fp,fn
LapChol Case 0023 03,0.8,0.0,0.0,0.0,0,4,2
LapChol Case 0023 03,0.85,0.0,0.0,0.0,0,4,2
LapChol Case 0023 03,0.9,0.0,0.0,0.0,0,4,2
LapChol Case 0023 03,0.95,0.0,0.0,0.0,0,4,2
LapChol Case 0023 03,1.0,0.0,0.0,0.0,0,4,2
LapChol Case 0023 04,0.05,0.3333333333333333,1.0,0.5,6,12,0
LapChol Case 0023 04,0.1,0.3333333333333333,1.0,0.5,6,12,0
LapChol Case 0023 04,0.15,0.3333333333333333,1.0,0.5,6,12,0
LapChol Case 0023 04,0.2,0.29411764705882354,0.8333333333333334,0.4347826086956522,5,12,1
LapChol Case 0023 04,0.25,0.29411764705882354,0.8333333333333334,0.4347826086956522,5,12,1
LapChol Case 0023 04,0.3,0.25,0.6666666666666666,0.36363636363636365,4,12,2
LapChol Case 0023 04,0.35,0.25,0.6666666666666666,0.36363636363636365,4,12,2
LapChol Case 0023 04,0.4,0.25,0.6666666666666666,0.36363636363636365,4,12,2
LapChol Case 0023 04,0.45,0.2,0.5,0.28571428571428575,3,12,3
LapChol Case 0023 04,0.5,0.2,0.5,0.28571428571428575,3,12,3
LapChol Case 0023 04,0.55,0.14285714285714285,0.3333333333333333,0.2,2,12,4
LapChol Case 0023 04,0.6,0.14285714285714285,0.3333333333333333,0.2,2,12,4
LapChol Case 0023 04,0.65,0.14285714285714285,0.3333333333333333,0.2,2,12,4
LapChol Case 0023 04,0.7,0.14285714285714285,0.3333333333333333,0.2,2,12,4
LapChol Case 0023 04,0.75,0.14285714285714285,0.3333333333333333,0.2,2,12,4
LapChol Case 0023 04,0.8,0.14285714285714285,0.3333333333333333,0.2,2,12,4
LapChol Case 0023 04,0.85,0.14285714285714285,0.3333333333333333,0.2,2,12,4
LapChol Case 0023 04,0.9,0.0,0.0,0.0,0,12,6
LapChol Case 0023 04,0.95,0.0,0.0,0.0,0,12,6
LapChol Case 0023 04,1.0,0.0,0.0,0.0,0,12,6
